patent_id,claims,abstract,wipo,cpc
6882480,"1. An optical device, comprising: a plurality of optical modulators that modulate a plurality of color lights for each color light in accordance with image information; a color combining optical device having a plurality of light-incident sides facing the respective optical modulators, the color combining optical device combining the color lights modulated by the optical modulators, the color combining optical device being integrated with the optical modulators; an optical converting element provided between the optical modulator and the light-incident side, the optical converting element having a substrate on which an optical conversion film that converts optical characteristics of a light beam irradiated by the optical modulator, the optical modulator is connected through a heat-conductive material to an optical component casing accommodating optical components disposed on an optical path from a light source to the optical modulator, at least a part of the optical component casing being made of a heat-conductive material, and the optical modulator is attached to the color combining optical device through a position-adjusting spacer made of a heat-insulative material. 11. A projector that modulates a light beam irradiated by a light source in accordance with image information to form an optical image comprising: the optical unit having an optical device according to claim 10 ; and an optical component casing that accommodates optical components disposed on an optical path from a light source to the optical modulator, at least a part of the optical component casing being made of a heat-conductive material, wherein the heat-conductive coating provided on the control cable of the optical device has a distal end branched from the control cable to be connected with an exterior case accommodating the optical unit and/or the optical component casing. 20. A projector that modulates a light beam irradiated by a light source in accordance with image information to form an optical image, comprising an optical unit, the optical unit comprising: the optical device according to claim 1 ; and an optical component casing that accommodates optical components disposed on an optical path from a light source to the optical modulator, at least a part of the optical component casing being made of a heat-conductive material.","An optical device (44) is provided with an optical modulator (440), a color combining optical device (444) and an optical converting element (443), the optical modulator (440) being attached to the color combining optical device (444) through a position-adjusting spacer (449) made of a heat-insulative material, so that heat generated on the optical modulator (440) and the optical converting element (443) is mutually insulated by the spacer (449) made of heat-insulative material and does not conduct from high-temperature side to low-temperature side between the optical modulator (440) and the optical converting element (443), thus improving cooling efficiency of the optical modulator (440) to enable size reduction and high luminance of the optical device (44) and a projector.",2,"H04N9/3105,H04N9/3141,H04N9/3144,H04N9/3167"
6949222,"1. A system for monitoring and control in the sterilization of an object which, for the purpose of sterilization, is electron irradiated from an electron radiation source past which the object is led or conveyed in order to receive a sufficient irradiation dose for the intended sterilization effect, wherein it includes: A detector for sensing the current speed of the object at the electron radiation source and generating an electric output signal which corresponds to the sensed speed; A speed/voltage converter which has an input in communication with the detector for receiving the output signal from the detector and generating a control signal proportional to a norm value for filament current to the electron radiation source as a response thereto; A high voltage/filament current generator which has an input for receiving a set norm value signal and, for generating in response thereto a high voltage at a first output in communication with the electron radiation source, a filament current at a second output in communication with the electron radiation source, an output signal for pertinent high voltage at a third output, and an output signal for pertinent filament current at a fourth output; A process control unit which has a first input in communication with the converter for receiving the control signal from the converter, a second input in communication with the third output at the generator for receiving the generated output signal for pertinent high voltage, a third input in communication with the fourth output at the generator for receiving the generated output signal for pertinent filament current, said process control unit being disposed to compare the received electric signals with corresponding norm values pre-programmed in the process control unit and generating a positive electric comparison signal when the received signals correspond to the pre-programmed norm values, and a negative comparison signal when the received signals deviate prohibitively from the pre-programmed norm values in the comparison; An ejector mechanism at or downstream of the electron radiation source in communication with the process control unit, for receiving the generated comparison signal from the process control unit, said ejector mechanism being disposed to be activated for ejecting the sterilized objects when the received comparison signal is negative, and to be inactivated when the received comparison signal is positive.","The disclosure relates to a system for monitoring and control in the sterilization of an object (1) which, for the purpose of sterilization, is electron irradiated from an electron radiation source (2) past which the object is led or conveyed. The system includes a detector (11), a converter (13), a generator (18), a process control unit (19), as well as an ejector mechanism (26) which is disposed to be activated for ejecting the sterilized object (1) on receipt of a negative comparison signal from the process control unit (19).",13,"A61L2/087,A61L2/24,B65B55/08,B65B57/04,A61L2202/14,G05B2219/32212"
6854269,"1. A method for attenuating fluid-born noise in a hydraulic circuit having a pump in fluid communication with a hydraulic actuator by a conduit, comprising: supplying a flow restricting device in the conduit; monitoring a fluid fluctuation in the hydraulic circuit; generating a signal representative of the fluid fluctuation in the conduit downstream of the flow restricting device; providing a bypass loop in parallel with the flow restricting device, the bypass loop having a valve; and controlling the valve based on the generated signal to generate a corrective fluid flow to attenuate the noise. 18. A machine, comprising: a pump; a hydraulic actuator in fluid communication with the pump by a conduit; a flow restricting device disposed in the conduit between the pump and the hydraulic actuator; a sensor coupled to the conduit, the sensor being configured to monitor a fluid fluctuation in the hydraulic circuit and to sense a signal representative of the fluid fluctuation in the hydraulic circuit; a bypass loop in fluid communication with the conduit at a first junction upstream of the sensor and the flow restricting device and a second junction downstream of the sensor and the flow restricting device, the bypass loop having a valve; and a controller electrically coupled to the sensor, the controller being configured to control flow across the valve based on the generated signal. 8. A system for attenuating noise in a hydraulic circuit having a pump in fluid communication with a hydraulic actuator by a conduit, the system comprising: a sensor assembly coupled to the conduit, the sensor assembly being configured to monitor a fluid fluctuation in the hydraulic circuit and to generate a signal representative of the fluid fluctuation in the hydraulic circuit; a bypass loop connected in parallel with the conduit, the bypass loop having a valve; and a controller electrically coupled to the sensor assembly and being configured to control the valve based on the generated signal to attenuate the noise in the hydraulic circuit.",A method is provided for attenuating noise in a hydraulic circuit having a pump in fluid communication with a hydraulic actuator by a conduit. The method includes supplying a flow restricting device in the conduit and generating a signal representative of a fluid fluctuation in the conduit downstream of the flow restricting device. A bypass loop is provided in parallel with the flow restricting device and the bypass has a valve. The valve is controlled based on the generated signal to generate a corrective fluid flow to attenuate the noise.,27,"F15B21/008,F04B1/2021,F04B11/00,F15B1/021"
6860142,"1. An apparatus for monitoring a metal working parameter in a fluid system comprising, in combination, a fluid circuit, an inlet valve for controlling flow of a metal working fluid from such system into said circuit, a pump for circulating such fluid in said circuit, a refractometer for sensing a parameter of such fluid in said circuit, an outlet valve for controlling release of such fluid from said circuit, a source of a functional material, a metering device for injecting said functional material into said fluid circuit; and an inlet manifold having a plurality of fluid inlets and inlet valves and an outlet manifold having a plurality of outlet valves and fluid outlets. 12. A method of monitoring a parameter of a metal working fluid in a fluid system, comprising the steps of: providing a first manifold having at least two inlets and corresponding inlet valves, providing a fluid circuit having a pump, providing a flow of a metal working fluid from said fluid system in said fluid circuit, exposing a refractometer to said metal working fluid to measure a fluid parameter, injecting a quantity of a functional material into said fluid circuit, circulating said fluid and said functional material in said fluid circuit, and providing a second manifold having at least two outlet valves. 17. An apparatus for monitoring a parameter in a fluid system comprising, in combination, a fluid circuit, an inlet valve for controlling flow of a fluid from such system into said circuit, a pump for circulating such fluid in said circuit, at least one sensor for sensing a parameter of such fluid in said circuit, an outlet valve for controlling release of such fluid from said circuit, a source of a functional material, and a metering device for injecting said functional material into said fluid circuit; and an inlet manifold having a plurality of fluid inlets and inlet valves and an outlet manifold having a plurality of outlet valves. 7. An apparatus for monitoring a parameter in a metal working fluid system comprising, in combination, a fluid circuit, an inlet valve for controlling flow of a metal working fluid from such system into said circuit, a pump for circulating fluid in said circuit, a refractometer for sensing a parameter of such fluid in said circuit, an outlet valve for controlling release of fluid from said circuit, a metering device for injecting a selected quantity of a functional material into said fluid circuit, a controller for sequencing operation of said valves, said pump and said metering device, and an inlet manifold having at least two fluid inlets and valves and an outlet manifold having at least two outlet valves and outlets.","An automatic system for monitoring/controlling a variable of a machine or metalworking fluid system also achieves cleaning and optionally, a calibration check of the sensor of the variable. The system includes one or more sensors for variables such as pH, fluid concentration, conductivity, temperature and the like, a supply of a cleaning agent and associated valves and conduits for connecting the automatic system to a fluid to be measured. A cleaning cycle can be scheduled as necessary to clean and/or check calibration of the sensors and ensure accurate measurement of sensed variables. If desired, the data regarding the sensed variables may be utilized to perform corrective action in real time.",10,"G01N33/30,G01N33/2894"
6908409,"1. An infinitely variable friction wheel transmission comprising: a housing; an input shaft; a torque shaft arranged coaxially therewith; two input discs with toroidally shaped inwardly facing surfaces arranged coaxially with the input shaft; two output discs with toroidally shaped inwardly facing surfaces arranged coaxially with the input shaft; the two output discs being arranged in mirror symmetry and adjacent to one another, and input discs sandwiching the two output discs therebetween such that each one of the input discs is associated with one of the output discs and forms a pair; a plurality of friction wheels arranged between the inwardly facing surfaces of the pairs of input and output discs, and the plurality of friction wheels being swivelable in order to transfer torque from the input disc to the associated output disc forming the pair; a support for supporting each one of the plurality of friction wheels; a swivelling device for the supports for the plurality of friction wheels, a pressure device associated with one of the input discs for forcing the one input disc toward the other input disc; an output shaft; and a gearwheel arrangement located between the output discs and the input shaft; wherein a compensation arrangement is provided between a bottom end of each support ( 1 ) for the friction wheels ( 2 ) and a hydraulic piston ( 6 ), the compensation arrangement comprises an upper bearing shell ( 3 ), a lower bearing shell ( 5 ), a cage ( 9 ) and plurality of balls ( 4 ) accommodated by the cage ( 9 ), and a traction element ( 7 ) is provided between the two bearing shells ( 3 , 5 ) which adjustably connects the bottom end of the support ( 1 ) with the hydraulic piston ( 6 ) and passes through a middle of the compensation arrangement.","The invention relates to a stepless friction drive (1) in which friction wheels (2) are mounted. Said friction drive is provided with a system that allows a compensatory displacement of the corresponding friction wheel (2) when the input and output wheels are elastically deformed. Said system is mounted between the lower end of every support (1) and the hydraulic piston (6). The compensation system comprises an upper bearing shell (3), a lower bearing shell (5) and balls (4) that are maintained in a defined arrangement by means of a cage (9).",31,"F16H15/38,F16H61/664"
6925281,"1. A method for finishing a receiver sheet or similar substrate, the receiver sheet having first and second surfaces, comprising the steps of: providing a toner composition; applying a quantity of the toner composition to a donor device so as to create a uniform integral layer of the toner composition; transporting the receiver sheet to a transfer station for contact between the donor device and the receiver sheet so as to transfer a portion of the layer of toner composition onto the first and second surfaces of the receiver sheet; and fusing the resulting transferred portion to the receiver sheet so as to fix a protective layer of the fused toner composition on the receiver sheet; wherein first and second segments of the toner layer portion are respectively transferred to the first and second surfaces of the receiver sheet and the resulting first and second segments are fused to the receiver sheet. 11. A system for finishing a receiver sheet or similar substrate, the receiver sheet having first and second surfaces, comprising: a toner layer applicator for providing a quantity of toner composition; a donor device for receiving the quantity of toner composition thereon as a uniform integral toner layer; a transfer station for receiving the receiver sheet and for engaging contact between the donor device and the receiver sheet so as to transfer a portion of the toner layer onto the first and second surfaces of the receiver sheet; and a fuser for fusing the resulting transferred portion to the receiver sheet; wherein the system being operable for transferring first and second segments of the toner layer portion respectively to the first and second surfaces of the receiver sheet and for fusing the resulting first and second segments to the receiver sheet.","Method and apparatus for finishing a receiver sheet or similar substrate by providing a protective coating on the receiver sheet for the benefit of, for example, protecting an image resident thereon. Such coating is created by applying and fusing a mixture containing a transparent, abrasion-resistant toner resin, and optionally components such as a light-fast material, to the receiver sheet.",9,"G03G15/6585,G03G2215/00801"
6950505,"1. A monitoring system for monitoring incoming telephone calls, including telephone calls with different called numbers, routed through a call system, the system comprising an electronic processor and an associated database, the system being adapted to detect the originating number of the caller and the called number to which the incoming call was made, to store the time and date of the incoming call the number of which has been identified and data representing the number to which the incoming call was made, and to identify the location of the caller corresponding to the originating number by comparing the data stored to information in the associated database and to identify the identity of the caller by coupling data representing the number to which the incoming call was made with the identified location of the caller. 3. A monitoring system for monitoring incoming telephone calls, including telephone calls with different called numbers, routed through a call transference system, the system comprising an electronic processor and an associated database, the system being adapted to detect the originating number of the caller and the called number to which the incoming call was made before being transferred, to store the time and date of an incoming call the number of which has been identified and data representing the number to which the incoming call was made, and to identify the location of the caller corresponding to the originating number and the identity of the caller corresponding to the called number.","The invention concerns a monitoring system for monitoring incoming telephone calls routed through a call transference system, the system comprising an electronic processor and an associated database, the system being adapted to detect the originating number of the caller and the called number to which the incoming call was made before being transferred, to automatically generate a return call to any incoming call the originating and called numbers of which have been identified without answering the incoming call, and to store the time and date of an incoming call the number of which has been identified and data representing the number to which the incoming call was made.",3,"H04M3/42195,G06Q10/0631,H04M3/42042,H04M3/42059,H04M3/42068,H04M3/42102,H04M2203/2016,H04M2203/2072,H04M2242/22,Y10S379/913"
6967341,"1. A method for generating a radiation of extreme ultraviolet range or soft x-ray range by gas discharge, the method comprising the steps of: arranging a first electrode and a second electrode concentrically surrounding the first electrode in a discharge vessel, wherein the first electrode is a hollow cathode having an electrode recess and wherein the second electrode has an electrode recess that is coaxial to the electrode recess of the hollow cathode; connecting the first and second electrodes to high voltage; introducing a discharge gas through the hollow cathode to provide a gas fill between the first and second electrodes in an area of the electrode recesses, wherein the gas fill has a predetermined gas pressure in accordance with a discharge operation realized on a left branch of the Paschen curve; generating in front of the hollow cathode from the discharge gas exiting from the hollow cathode a plasma emitting the radiation when supplying high voltage; displacing or deforming the plasma by providing a pressure gradient of the gas fill in front of the hollow cathode. 7. A device for generating a radiation of extreme ultraviolet range or soft x-ray range by gas discharge, the device comprising: a discharge vessel; a first electrode and a second electrode concentrically surrounding the first electrode, the first and second electrodes connected to high voltage and arranged within the discharge vessel; wherein the first electrode is a hollow cathode having an electrode recess and wherein the second electrode has an electrode recess that is coaxial to the electrode recess of the hollow cathode; wherein the hollow cathode has a gas inlet through which a discharge gas is supplied to create a gas fill between the electrode recesses, wherein the gas fill has a predetermined gas pressure in accordance with a discharge operation on the left branch of the Pasehen curve, wherein in front of the hollow cathode from the discharge gas exiting from an end face of the hollow cathode a plasma emitting the radiation is generated when high voltage is supplied; wherein the gas pressure of the gas fill is higher near the hollow cathode for displacing or deforming the plasma.","In a method for generating extreme ultraviolet radiation or soft x-ray radiation by means of gas discharge, in particular, for EUV lithography, a discharge vessel is provided with two electrodes that are connected to high voltage. Between the electrodes, in an area of two electrode recesses that are coaxial to one another, a gas fill with predetermined gas pressure in accordance with a discharge operation realized on the left branch of the Paschen curve is provided. In this area, a plasma emitting the radiation is generated when supplying energy. The plasma is displaced or deformed by a pressure change of the gas fill in the area of the electrode recesses.",13,"H05G2/002,G03F7/70033"
6922021,"1. A lamp comprising: (a) a waveguide having a body of a preselected shape and preselected dimensions consisting essentially of at least one solid dielectric material, the body having a first side determined by a first waveguide outer surface; (b) a lamp chamber depending from said first side and having an aperture at said waveguide outer surface generally opposed to a lamp chamber bottom, the waveguide body and lamp chamber comprising an integrated structure; (c) a first microwave probe positioned within and in intimate contact with the waveguide body, adapted to couple microwave power into the body from a source of microwave power having an output and an input and operating at a preselected frequency and intensity, the probe connected to the source output, said frequency and intensity and said body shape and dimensions selected such that the waveguide body resonates in at least one resonant mode having at least one electric field maximum; and (d) the lamp chamber containing a fill mixture consisting essentially of a starting gas and a light emitter, the fill mixture when receiving microwave power at said frequency and intensity, provided by the resonating waveguide body, forming a plasma which emits light.","A plasma lamp including a waveguide body consisting essentially of at least one dielectric material having a dielectric constant greater than approximately 2. The body is coupled to a microwave power source which causes the body to resonate in at least one resonant mode. At least one lamp chamber integrated with the body contains a bulb with a fill forming a light-emitting plasma when the chamber receives power from the resonating body. A bulb either is self-enclosed or an envelope sealed by a window or lens covering the chamber aperture. Embodiments disclosed include lamps having a drive probe and a feedback probe, and lamps having a drive probe, feedback probe and start probe, which minimize power reflected from the body back to the source when the source operates: (a) at a frequency such that the body resonates in a single mode; or (b) at one frequency such that the body resonates in a relatively higher order mode before a plasma is formed, and at another frequency such that the body resonates in a relatively lower order mode after it reaches steady state.",1,"H01J61/12,H01J61/025,H01J61/30,H01J61/52,H01J65/044,H01P3/16,Y02B20/00"
6911922,"1. A method for processing information in a primary communication channel, the method comprising: encoding at least a portion of at least a first word of at least one packet in a datastream; and reversing a running disparity of said encoded at least a portion of said at least a first word of said at least one packet in said datastream. 10. A machine-readable storage having stored thereon, a computer program having at least one code section for processing information in a primary communication channel, the at least one code section being executable by a machine for causing the machine to perform steps comprising: encoding at least a portion of at least a first word of at least one packet in a datastream; and reversing a running disparity of said encoded at least a portion of said at least a first word of said at least one packet in said datastream.","The disclosure relates to providing a secondary communication channel overlaid on a primary communication channel, using an enhanced encoding method, to effectively expand the utilized information capacity of the primary communication channel. A portion of at least a first word of one or more packets may be encoded in a datastream. A running disparity of the encoded word may be reversed. Hence, if an encoded running disparity of an encoded word is RD positive RD(+), then the running disparity is reversed to RD negative RD(−). Similarly, if an encoded running disparity is RD negative RD(−), then the running disparity is reversed to RD positive RD(+). The word may be a data word, control word or an idle word corresponding to a data packet, a control packet and an idle packet, respectively.",4,"H04L25/4908,H04L25/14"
