patent_id,claims,abstract,wipo,cpc
9150849,"1. A recombinant polypeptide expression library with normalized expression levels of a plurality of expressed polypeptide variants comprising unnatural amino acids, wherein the library is expressed from an expression vector, the library comprising: a) a plurality of expressed target polypeptide variants, wherein at least one of the expressed target polypeptide variants comprises at least one unnatural amino acid residue, and b) a packaging or specificity polypeptide comprising at least one same unnatural amino acid as the at least one expressed target polypeptide variant comprising the at least one unnatural amino acid residue of a), which packaging or specificity polypeptide is essential for viability of the expression vector; wherein expressed polypeptides comprising only natural amino acids are present in the library at a molar ratio of 10:1, or less than 10:1, relative to polypeptides in the library comprising the at least one unnatural amino acid residue of a).","The invention provides methods and compositions for screening polypeptide libraries that include variants comprising unnatural amino acids. In addition, the invention provides vector packaging systems and methods for packaging a nucleic acid in a vector. Compositions of vectors produced by the methods and systems are also provided.",15,"C12N15/1037,C12N15/1058,C12N15/67,C40B40/08,C40B40/10"
9033946,"1. A diaper sheath comprising: inner and outer panels, each of said inner and outer panels having front and back portions connected by an intermediate portion, said front portion of the inner panel having an opening, each of said panels attached peripherally one to the other in matched contour; a front fastener attached to said front portion of said outer panel; a back fastener attached to said back portion of said inner panel, said back fastener being cooperatively fastenable with said front fastener; a front flap attached to said front portion of said inner panel, and said opening being covered by said front flap; an intermediate elastic strip attached to said inner and outer panels along each of two sides of said intermediate portion; and an intermediate button attached along each said side of said intermediate portion, wherein said intermediate elastic strip has at least one intermediate hole cooperatively fastenable with said intermediate button, and wherein said buttons are attached to said intermediate portion where said opening meets said front flap such that, in a fastened state, said buttons are exposed from a surface side of the inner panel through the opening while not being enclosed between the outer panel and the inner panel. 7. A diaper comprising: a diaper sheath according to claim 1 , and a pad fully or partially inserted between said inner and outer panels.","The present invention provide with a diaper sheath comprising: an inner and outer panel, each of said inner and outer panels having front and back portion connected by an intermediate portion, said front portion of the inner panel having an opening; and a front flap attached to said front portion of said inner panel, and said opening is covered by said front flap. The diaper of the present invention is much easier and convenient to adjust the insert from the opening at the front portion. With the flap at the front portion, parents can choose to use a biodegradable pad to insert in the flap and lay on the top of the inner panel.",13,"A61F13/15268,A61F13/505"
9048056,"1. A glass composition, comprising: transition metals; phosphorus (P); barium (Ba); and zinc (Zn), the transition metals including; vanadium (V) and at least one of tungsten (W) and iron (Fe), the glass composition not containing substances included in the JIG level A and B lists and not containing alkali metals, a softening point of the glass composition being from 430 to 530° C., an average linear expansion coefficient of the glass composition being from 6 to 9 ppm/° C. at temperatures from 30 to 250° C. 11. A glass composition, comprising: transition metals; phosphorus (P); barium (Ba); and zinc (Zn), the transition metals including vanadium (V) and at least one of tungsten (W) and iron (Fe), the glass composition containing, on the oxide basis: 25 to 43 mass % of V 2 O 5 ; 0 to 25 mass % of WO 3 ; 0 to 10 mass % of Fe 2 O 3 ; 23 to 30 mass % of P 2 O 5 ; 5 to 20 mass % of BaO; and 5 to 15 mass % of ZnO, a total content of the V 2 O 5 , the WO 3 , and the Fe 2 O 3 being within a range from 40 to 60 mass %, the glass composition not containing substances included in the JIG level A and B lists and not containing alkali metals. 18. An electronic device, comprising: a glass sealant which seals a portion of the electronic device, the glass sealant containing the glass composition according to claim 11 ; a glass adhesive that bonds different portions of the electronic device, the glass adhesive containing the glass composition; or a glass coating that coats a portion of the electronic device, the glass coating containing the glass composition. 8. An electronic device, comprising: a glass sealant which seals a portion of the electronic device, the glass sealant containing the glass composition according to claim 1 ; a glass adhesive that bonds different portions of the electronic device, the glass adhesive containing the glass composition; or a glass coating that coats a portion of the electronic device, the glass coating containing the glass composition.","A glass composition according to the present invention comprises: transition metals; phosphorus; barium; and zinc, the transition metals including: vanadium; and tungsten and/or iron, the glass composition not containing substances included in the JIG level A and B lists, an softening point of the glass composition being from 430 to 530° C., an average linear expansion coefficient of the glass composition being from 6 to 9 ppm/° C. at temperatures from 30 to 250° C.",20,"H01J5/24,C03C3/21,C03C4/16,C03C8/08,C03C8/24,H01J11/48,H01L23/291,H01L2924/0002,H01L2924/09701,Y10T428/252"
9217711,"1. A method of determining the presence and amount of beryllium or a beryllium compound in a sample, comprising: admixing a sample suspected of containing beryllium or a beryllium compound with an acidic solution for sufficient time at elevated temperature that is 100 degree C. or lower, whereby beryllium or a beryllium compound within said sample is dissolved; mixing a portion from said admixture with a buffered solution containing a fluorescent indicator capable of binding beryllium or a beryllium compound to the fluorescent indicator; wherein the pH of the mixture of the said admixture with the buffered solution with fluorescent indicator is equal to or greater than 12, and, determining the presence or amount of beryllium or a beryllium compound within said sample by measuring fluorescence from said fluorescent indicator. 2. A method of determining the presence and amount of beryllium or a beryllium compound in a sample, comprising: admixing a sample suspected of containing beryllium or a beryllium compound with an acidic solution for sufficient time at elevated temperature that is 100 degree C. or lower, whereby beryllium or a beryllium compound within said sample is dissolved; mixing a portion from said admixture with a buffered solution containing a fluorescent indicator capable of binding beryllium or a beryllium compound to the fluorescent indicator; wherein the volumetric ratio of the admixture solution and the buffered solution with fluorescent indicator is greater than 1:19, and the pH of the mixture of the said admixture with the buffered solution with fluorescent indicator is higher than 10, and, determining the presence or amount of beryllium or a beryllium compound within said sample by measuring fluorescence from said fluorescent indicator. 3. A method of determining the presence and amount of beryllium or a beryllium compound in a sample, comprising: admixing a sample suspected of containing beryllium or a beryllium compound with an acidic solution for sufficient time at elevated temperature that is 100 degree C. or lower, whereby beryllium or a beryllium compound within said sample is dissolved; mixing a portion from said admixture with a solution containing a fluorescent indicator capable of binding beryllium or a beryllium compound to the fluorescent indicator; wherein the pH of the mixture of the said admixture with the solution with fluorescent indicator is equal to or greater than 12, and, determining the presence or amount of beryllium or a beryllium compound within said sample by measuring fluorescence from said fluorescent indicator. 7. A method of determining the presence and amount of beryllium or a beryllium compound in a sample, comprising: admixing a sample suspected of containing beryllium or a beryllium compound with an acidic solution for sufficient time at elevated temperature that is 100 degree C. or lower, whereby beryllium or a beryllium compound within said sample is dissolved; mixing a portion from said admixture with a solution containing a fluorescent indicator capable of binding beryllium or a beryllium compound to the fluorescent indicator; wherein the volumetric ratio of the admixture solution and the solution with fluorescent indicator is greater than 1:19, and the pH of the mixture of the said admixture with the solution with fluorescent indicator is higher than 10, and, determining the presence or amount of beryllium or a beryllium compound within said sample by measuring fluorescence from said fluorescent indicator.","A safer, low-cost practical method of dissolving beryllium or a beryllium compound including beryllium oxide in a sample is disclosed. This method discloses use of acidic solutions under mild heating conditions to dissolve beryllium and its compounds. These solutions may then be used to quantitatively analyze for beryllium so as to be able to determine the amount of beryllium in the sample. These solutions may also be combined with fluorescent dye indicating solutions to determine beryllium by fluorescence. A preferred fluorescent dye indicating solution contains a dye (10-hydroxybenzo[h]quinoline-7-sulfonate) which specifically binds with beryllium under basic conditions.",10,"G01N21/643,G01N21/94,G01N33/24,G01N2021/7786"
8934982,"1. A method of treating hyperactivity of an eyelid closing muscle in a subject, the method comprising: providing a stimulation system in the subject with the hyperactivity of the eyelid closing muscle; sensing an activity of the eyelid closing muscle; and selectively stimulating one or more eyelid opening reflexes in muscles based on the sensed activity, using the stimulation system, without activating the eyelid closing muscle, thereby evoking eyelid movement in the subject.","A system and method of treating hyperactivity of an eyelid closing muscle in a subject includes providing a stimulation system in the subject with the hyperactivity of the eyelid closing muscle, sensing an activity of the eyelid closing muscle, and selectively stimulating eyelid opening muscle(s) or innervating nerves, eyelid opening reflexes, or eyelid opening reflexes in non-muscular tissue, using the stimulation system, without substantially activating the eyelid closing muscle. The system and method evokes eyelid movement in the subject.",13,"A61N1/36003,A61F9/00718,A61H5/00,A61H23/00,A61H23/02,A61N1/36031,A61N1/36034,A61N1/36046,A61N1/36057,A61N1/36067,A61N1/36139,A61H23/004,A61H23/0245,A61H2201/501,A61H2201/5012,A61H2201/5058,A61H2201/5097,A61H2205/024"
9025214,"1. An image reading apparatus comprising: a reading unit that reads out a document and generates image data; a display unit that displays information; a setting unit that sets a language used for the display on the display unit; a character recognition unit that recognizes a character in the image data; and an image-orientation changing unit that changes the image data upright based on the orientation of the recognized character, in response to the set language being recognizable by the character recognition unit, and that specifies information, which is displayed by the display unit and is about an orientation of the character in the document with respect to the reading unit, in response to the set language being unrecognizable by the character recognition unit. 11. A non-transitory computer readable medium storing a program causing a computer to execute a process for reading an image, the process comprising: reading out a document and generating image data; recognizing a character included in the image data; setting a language; and in response to the set language being recognizable by a character recognition unit, causing the image data to be oriented upright based on an orientation of the recognized character; and in response to the set language being unrecognizable by the character recognition unit, specifying information, which is displayed by the display unit and is about an orientation of the character in the document. 12. An image reading method comprising: using a scanner to read out a document and generate image data; recognizing a character included in the image data; setting a language; and in response to the set language being recognizable by a character recognition unit, causing the image data be oriented upright based on an orientation of the recognized character; and in response the set language being unrecognizable by the character recognition unit, specifying information, which is displayed by the display unit and is about an orientation of the character in the document.","An image reading apparatus includes a reading unit, a character recognition unit, and a display unit for a display according to a language which is set. The reading unit reads out a document and generates image data. The character recognition unit recognizes a character included in the image data in order to orient the image data upright. The display unit displays information specifying an orientation of the character in the document with respect to the reading unit, when the language which is set is a language which is not recognizable by the character recognition unit.",2,"G06V30/1463,G06V30/2445,H04N1/00331,H04N1/00498,H04N1/12,G06V30/10"
9002095,"1. A computer-implemented method of detecting a faulty wheel, comprising: receiving, at an image processing module, an image sequence depicting a cart having the faulty wheel, wherein the faulty wheel exhibits one of a swiveling resistance and a wobble; detecting, by the image processing module, that the cart has the faulty wheel; wherein detecting, by the image processing module, that the cart has the faulty wheel further comprises identifying, by the image processing module, the cart as an abandoned cart; and transmitting an alert regarding the abandoned cart. 15. A computer-implemented method of detecting a faulty wheel, comprising: receiving, at an image processing module, an image sequence depicting a cart having the faulty wheel exhibiting one of a swiveling resistance and a wobble; verifying, by the image processing module, that the cart contains no items; detecting, by the image processing module, that the cart has the faulty wheel; wherein detecting, by the image processing module, that the cart has the faulty wheel further comprises identifying, by the image processing module, the cart as an abandoned cart; and transmitting an alert regarding the abandoned cart. 10. A system for detecting a faulty wheel, comprising: a camera; an image processing module comprising one or more image processing processors and one or more image processing memory devices operably coupled to the one or more image processing processors and storing executable and operational image processing data, the executable and operational image processing data effective to cause the one or more image processing processors to: analyze a sequence of images captured by the camera to track a movement pattern of a cart having the faulty wheel, wherein the faulty wheel exhibits one of a swiveling resistance and a wobble; and detect that the cart has the faulty wheel by identifying that the cart is abandoned; and an application server comprising one or more application server processors and one or more application server memory devices operably coupled to the one or more application server processors and storing executable and operational application server data, the executable and operational application server data effective to cause the one or more application server processors to create an alert if the image processing module detected that the cart is abandoned.","A system and method of identifying carts exhibiting tendencies that are indicative of damaged or defective wheels. A shopping cart may be identified and tracked visually through one or more surveillance cameras. By comparing the cart's tracked movement to known symptomatic movement patterns, the system may identify defective or damaged carts. Alternatively, by analyzing movement and positioning of a cart's swiveling wheels, the system may identify defective or damaged carts. Alternatively, by identifying if a customer has abandoned a cart, the system may identify defective or damaged carts. A notification message may be transmitted to an associate to repair or replace the identified problematic cart. The notification may be displayed on a mobile computing device, a workstation, or other like systems.",6,"G06T7/0002,G06T2207/10016"
8990921,"1. An apparatus, comprising: a hardware processor adapted for executing executable instructions; at least one non-secure data entity, comprising: a non-secure program instantiated on said processor, said non-secure program comprising non-secure executable instructions; a plurality of secure data entities, comprising: a communication monitor instantiated on said processor, said communication monitor comprising secure executable instructions, said communication monitor being adapted to detect communication among said secure data entities and said at least one non-secure data entity; a permitted instruction record; a first prohibitor instantiated on said processor, said first prohibitor comprising said secure executable instructions, said first prohibitor being adapted to prohibit execution of said non-secure executable instructions on said secure data entities unless said non-secure executable instructions are recorded in said permitted instruction record; a prohibited instruction record; and a second prohibitor instantiated on said processor, said second prohibitor comprising said secure executable instructions, said second prohibitor being adapted to prohibit execution of said non-secure executable instructions if said non-secure executable instructions are recorded in said prohibited instruction record. 36. An apparatus, comprising: processing means for executing executable instructions; at least one non-secure data means, comprising: a non-secure instructing means for delivering non-secure executable instructions to said processing means, said non-secure instructing means being instantiated in said processing means; a plurality of secure data means, comprising: a monitoring means for detecting communication among said secure data means and said non-secure data means, said monitoring means being instantiated in said processing means; means for recording permitted instructions; first prohibiting means for prohibiting said processing means from executing said non-secure executable instructions on said secure data means unless said non-secure executable instructions are recorded in said means for recording permitted instructions, said first prohibiting means being instantiated in said processing means; means for recording prohibited instructions; and second prohibiting means for prohibiting said processing means from executing said non-secure executable instructions on said non-secure data means if said non-secure executable instructions are recorded in said means for recording prohibited instructions, said second prohibiting means being instantiated in said processing means.","Method and apparatus for secure processing. The method includes detecting communication among secure and non-secure data entities, prohibiting execution of non-secure executable instructions on secure data entities unless the non-secure executable instructions are recorded in a permitted instruction record, and prohibiting execution of non-secure executable instructions if the non-secure executable instructions are recorded in a prohibited instruction record. The apparatus includes a processor, at least one non-secure data entity, and secure data entities including: a communication monitor adapted to detect communication among secure and non-secure data entities; a permitted instruction record; a first prohibitor adapted to prohibit execution of non-secure executable instructions on secure data entities unless the non-secure executable instructions are recorded in the permitted instruction record; a prohibited instruction record; and a second prohibitor adapted to prohibit execution of non-secure executable instructions if the non-secure executable instructions are recorded in the prohibited instruction record.",6,"G06F21/629,G02B27/0176,G06F21/556,G06F21/57,G02B2027/0178,G06F21/54,G06F21/60,G06F2221/03"
9040348,"1. A method of fabricating an electronic assembly, the method comprising: fabricating, using a photolithography process, a first interconnect comprising a first set of copper pillars, the first interconnect to interconnect a first die to a semiconductor substrate; fabricating, using the photolithography process, a second interconnect comprising a second set of copper pillars, the second interconnect to interconnect the first die to a second die; and assembling the first die, the second die, and the semiconductor substrate together such that the first die is disposed above the semiconductor substrate, and the second die is disposed below the first die. 12. A method of fabricating an electronic assembly, the method comprising: fabricating a first interconnect, the first interconnect to interconnect a first die to a substrate; fabricating a second interconnect, the second interconnect to interconnect the first die to a second die; fabricating a third interconnect, the third interconnect to interconnect the first die to a third die; and assembling the first die, the second die, the third die, and the substrate together such that the first die is disposed above the substrate, the second die is disposed below the first die, and the third die is disposed below the first die, wherein assembling the first die, the second die, the third die, and the substrate together further comprises disposing the second die between the first die and the third die. 16. A method of fabricating an electronic assembly, the method comprising: fabricating, using a photolithography process, a first interconnect on a first die, the first interconnect comprising a first set of copper pillars; fabricating, using a photolithography process, a second interconnect on the first die, the second interconnect comprising a second set of copper pillars; interconnecting a second die to the first die using the second interconnect; and interconnecting the first die to a semiconductor substrate using the first interconnect such that the first die and the second die are disposed above the substrate.","A method of fabricating an electronic assembly includes fabricating first and second interconnects. The first interconnect is adapted to interconnect a first die to a substrate. The second interconnect is adapted to interconnect the first die to a second die. The method further includes assembling the first die, the second die, and the substrate together such that the first die is disposed above the substrate, and the second die is disposed below the first die.",8,"H01L25/0657,H01L24/11,H01L24/14,H01L24/17,H01L24/13,H01L24/16,H01L24/81,H01L2224/1146,H01L2224/11474,H01L2224/11845,H01L2224/11906,H01L2224/13082,H01L2224/13111,H01L2224/13147,H01L2224/1403,H01L2224/16145,H01L2224/1703,H01L2224/29099,H01L2224/32225,H01L2224/73253,H01L2224/81191,H01L2224/81203,H01L2225/06513,H01L2225/06517"
9038103,"1. A method for content surfing on user equipment, the method comprising: generating a sequential display in a first area, from a list of a plurality of content selections in a content surf, of the plurality of content selections; determining whether a user request to pause the content surf was received when a display is generated, in a second area, of a given one of the content selections; generating a content identifier of the given one of the content selections in response to determining that the user request to pause the content surf was received when the display was generated, in the second area, of the given one of the content selections; and updating the sequential display generated in the first area with another one of the plurality of content selections while maintaining the generated display of the given one of the content selections in the second area. 9. A system for content surfing on user equipment, the system comprising: control circuitry configured to: generate a sequential display in a first area, from a list of a plurality of content selections in a content surf, of the plurality of content selections; determine whether a user request to pause the content surf was received when a display is generated, in a second area, of a given one of the content selections; generate a content identifier of the given one of the content selections in response to determining that the user request to pause the content surf was received when the display was generated, in the second area, of the given one of the content selections; and update the sequential display generated in the first area with another one of the plurality of content selections while maintaining the generated display of the given one of the content selections in the second area.","Systems and methods for improving or suggesting alternatives to content surfing are provided. When it is detected that a user wishes to surf, a pipeline tuning sequence is implemented where by storing one or more frames of a first content selection to the user equipment and acquiring a subsequent content selection while concurrently displaying the previously stored one or more frames. Content suggestions, program listing grids, media guidance application and tuning hints, advertisements, digital audio, and live video may also be presented to user while content surfing. In some embodiments, content surf landing channels may be anticipated based on user history, user profiles, or any other suitable information. In some embodiments, thumbnails of the user's recently tuned, or paused on, content are displayed to the user while content surfing. In multiple tuner systems, more than one thumbnail may be displayed in full motion video.",2,"H04N21/4826,G06F3/00,G06F13/00,H04N5/50,H04N21/4263,H04N21/4316,H04N21/4384,H04N21/44224,H04N21/4532,H04N21/47,H04N21/482,H04N21/4821,H04N21/4882"
